RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG.,X3PM,X3PA,X3P.,FTM,FTA,FT.,REB,AST,STL,BLK,TO,DD2,TD3,year,team.abbr,overall_pick,team,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
13,Asjha Jones,F,30,31.4,15.3,6.4,14.3,44.9,0,0.4,8.3,2.4,3.1,76.6,6.1,2.5,0.8,0.8,3,3,0,2007,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,DeLisha Milton-Jones,F,34,33.6,13.4,4.9,13.9,34.9,0.8,3.5,23.5,2.9,3.4,84.5,6.4,1.6,1.5,1.1,3.6,4,0,2007,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Betty Lennox,G,34,27.6,13.4,4.6,10.6,42.8,1,2.9,34.3,3.2,3.6,90.9,4.7,2.7,1.1,0.1,2.7,0,0,2007,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Lindsay Whalen,G,34,30.6,13.4,4.6,9.8,46.8,0.5,2.5,20.9,3.6,4.6,78.5,4.8,5,2.1,0.1,2.2,1,0,2007,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Katie Smith,G,34,34,13.2,3.8,10.4,36.1,1.8,5.8,31.1,3.9,4.6,84.7,3.8,3.6,1.2,0.1,1.7,2,0,2007,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Nykesha Sales,NA,26,29.3,13.1,4.7,12.1,39.2,0.9,2.7,32.4,2.8,3.2,87.8,4,3.2,1.4,0.4,2.2,0,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Tangela  Smith,C,34,31.5,12.6,4.9,11.7,41.4,0.6,1.8,32.8,2.3,2.9,78.8,6.5,1.3,1.2,1.6,1.6,3,0,2007,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Iziane CastroBRA,G,34,28.3,12.3,4.1,9.7,42,1.8,4.6,38.5,2.4,3,80.2,2.8,2.8,1,0.1,1.9,0,0,2007,ZIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Tammy  Sutton-Brown,C,34,25.3,12,4.4,9,48.5,0,0,0,3.3,4.6,71.6,5.4,0.9,1,1.4,2.5,2,0,2007,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Jia Perkins,G,33,23.1,11.7,4.6,10,46.4,1.2,2.7,43.3,1.2,1.6,77.4,3.3,2.3,1.5,0.2,1.5,1,0,2007,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Plenette Pierson,F,34,24.9,11.6,4.4,9.2,47.8,0,0.1,0,2.9,3.8,75.4,5.8,1.7,0.8,0.9,2.3,4,0,2007,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Nicole Ohlde,NA,34,26.8,11.5,3.8,10.1,37.4,0,0,0,4,4.7,84.5,6.1,1.6,0.5,0.6,2.4,2,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Shameka Christon,F,33,32.3,11.2,3.6,9.9,36,1.2,3.6,32.8,2.8,3.5,79.5,4.5,2.1,1,0.6,2.5,0,0,2007,PHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Taj McWilliams-Franklin,F,29,29.3,11.1,4.3,8.8,49,0.1,0.4,23.1,2.3,3,77.3,5.9,1.7,1.2,1,1.7,5,0,2007,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Kara Lawson,G,34,22.8,11,3.8,10,37.6,1.3,3.9,33.8,2.2,2.6,84.1,2.4,2,0.9,0.2,1.4,0,0,2007,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Nakia Sanford,F,34,29.2,11,3.6,6.8,53,0,0,0,3.8,5.7,66.5,7.1,0.7,0.8,0.8,2.6,6,0,2007,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Tamika Whitmore,NA,34,25.9,10.9,4.1,9.9,41.5,0.6,2.1,30,2.1,2.7,76.3,5,1.5,0.6,0.3,2.5,1,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Tan White,G,34,24.7,10.8,4,10.4,38.6,1.3,3.7,33.9,1.6,1.9,84.1,2.6,1.9,1.1,0.3,2.9,0,0,2007,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Michelle Snow,C,34,26.2,10.8,4.1,8.4,49.3,0,0,0,2.5,3.3,76.8,6.8,1.4,0.5,1,2.7,3,0,2007,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Cathrine Kraayeveld,F,34,28.4,10.8,3.8,8.8,43.3,1.6,3.8,41.1,1.6,2.1,78.6,4.5,1.5,0.9,0.6,2.5,1,0,2007,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Swin Cash,F,32,30.3,10.8,3.9,9.6,41,0,0.1,0,2.9,3.8,76,5.9,2.5,0.6,0.4,2.5,6,0,2007,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Monique Currie,F,33,25.2,10.7,3.2,7.3,44,0.4,1.2,34.1,3.9,4.9,78.5,4,1.8,0.7,0.2,1.5,3,0,2007,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Sue Bird,G,29,31.7,10.4,4.1,9.5,42.8,1.6,4.6,33.8,0.8,0.9,84.6,2,4.9,1.5,0.3,2.3,2,0,2007,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Janel McCarville,C,32,21.2,10.4,4.3,7.8,54.6,0,0,0,1.9,2.3,83.3,4.8,1.1,1.2,0.6,2.5,3,0,2007,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Stacey Dales,NA,31,27.3,10.3,3.5,10.1,34.7,2.2,6.5,33.8,1.1,1.3,84.6,1.8,2.7,0.6,0,1.8,0,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Svetlana Abrosimova,F,34,24.5,10.1,3.9,8.8,44.3,1.3,3,44.6,1.1,1.3,83.7,4.4,2.5,1.3,0.1,2,0,0,2007,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Chasity Melvin,NA,32,29.2,10.1,3.7,8.1,45.6,0,0.2,14.3,2.7,4,65.9,6.7,1.2,1.2,0.7,2.2,6,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Erin Thorn,G,29,30.4,9.7,3.6,8.4,42.4,1.7,4.2,39,0.9,1.2,73.5,3,2.5,0.9,0,1.7,0,0,2007,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Loree  Moore,G,34,34.2,9.6,3.5,8.5,41.2,1.6,4,40.7,1,1.7,58.6,4.1,4.8,2.2,0.1,2.9,0,0,2007,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Sidney Spencer,NA,34,24.4,9.6,3.5,8.8,39.3,1.6,3.6,43.9,1.1,1.2,88.1,4.1,1.2,0.8,0.3,1,2,0,2007,NA,25,Los Angeles Sparks,,Tennessee,5,144,5.6,0.113,13.6,4.9,1.9,0.6
43,Kelly Miller,G,34,30.6,9.4,3.4,7.1,47.9,0.8,2.1,38.6,1.9,2.4,78,4.9,4.6,1.2,0.1,2.5,0,0,2007,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Hamchetou Maiga-Ba,NA,34,29.7,9.1,3.6,7.9,45.4,0,0.1,20,1.9,2.3,83.3,4,2.3,1.7,0.1,2.1,0,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Yolanda Griffith,NA,32,23.1,9,3.3,6.7,50.2,0,0,0,2.3,3.6,65.8,4.6,1.5,1,0.4,2,0,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Janell Burse,NA,29,24.4,8.8,3.2,7.2,44.5,0,0,0,2.4,3.5,69.3,5.3,0.8,0.4,1,2,3,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Marta Fernandez,NA,34,26.2,8.7,3.1,8.3,37.9,0.4,1.4,24.5,2.1,2.6,79.8,2.1,3,1.1,0.4,2.6,0,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Anna DeForge,NA,34,23.4,8.7,3.3,7.9,41.8,1.3,3.1,41,0.9,0.9,90.6,3.3,1.5,0.8,0.1,1.4,0,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Dominique Canty,G,30,25.9,8.6,2.9,8,36.1,0.1,0.5,25,2.7,3.8,70.4,2.1,4.1,1,0.1,1.9,0,0,2007,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Christi Thomas,NA,34,18.8,8.4,3.4,7,48.1,0.2,0.5,35.3,1.6,2.1,75.7,5.3,0.5,0.6,0.3,1.4,3,0,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Diana Taurasi,G,34,31.9,24.1,7.6,17,44.6,2.6,7.3,36,6.3,7.3,87,5.1,3.6,1.4,1.4,2.4,2,0,2008,PHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Cappie Pondexter,G,32,31.3,21.2,7.3,17.7,41.3,1.3,4.1,31.3,5.3,6.3,84.6,3.7,4.2,1.2,0.2,2.9,0,0,2008,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Seimone Augustus,G,31,33.6,19.1,7.5,16,46.9,0.6,2,31.7,3.4,3.8,89,3.9,2.7,1,0.4,1.7,1,0,2008,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Candace Parker,F,33,33.6,18.5,7,13.4,52.3,0.3,0.8,42.3,4.2,5.7,73.3,9.5,3.4,1.3,2.3,2.8,17,0,2008,SAS,1,Los Angeles Sparks,,Tennessee,15,392,62.2,0.207,30.7,16.4,8.6,4
5,Tina Thompson,F,30,35.8,18.1,6.3,15.2,41.3,1.9,4.6,40.6,3.7,4.3,85.9,6.9,2.2,1.1,0.7,3.8,5,0,2008,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Becky Hammon,G,33,33.4,17.6,5.2,13.3,39,2.3,6.7,35,4.9,5.3,93.7,2.8,4.9,1.3,0.2,3.2,0,0,2008,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Sophia Young-Malcolm,F,33,31.9,17.5,6.3,13.1,47.8,0,0.1,0,4.9,6.2,78.6,5.6,2.3,1.6,0.5,1.7,3,0,2008,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Betty Lennox,G,34,29.7,17.4,6.1,14.7,41.5,1.9,5.2,35.8,3.4,4,85.3,4.2,2.4,1.3,0.1,3.4,1,0,2008,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Asjha Jones,F,33,29.2,17,6.8,14,48.4,0.2,0.7,21.7,3.3,4.2,79.1,6.1,2.5,0.6,0.8,2.2,2,0,2008,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Jia Perkins,G,34,31.7,17,6.3,14.3,43.9,1.3,3.6,36.6,3.1,3.5,89.1,4.1,2.8,1.9,0.3,1.8,1,0,2008,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Candice Dupree,F,34,33.1,16.3,6.1,13.4,45.7,0,0.2,14.3,4.1,5.2,78,7.9,2.3,1,1.3,2.9,9,0,2008,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Alana Beard,G,33,33.1,16.1,5.7,14.4,39.5,1.5,4.4,35.4,3.2,4.4,73.3,3.6,3.5,1.7,0.6,3.2,0,0,2008,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Deanna  Nolan,G,34,33.6,15.8,6.4,13.7,46.5,1.3,3.4,37.4,1.9,2.1,86.3,3.9,4.4,1.2,0.3,2.1,2,0,2008,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Shameka Christon,F,31,30.5,15.7,4.9,12.4,39.7,2.3,5.6,40.6,3.6,4.3,82.8,3,1.6,1.1,0.5,2,0,0,2008,PHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Candice Wiggins,G,30,27.5,15.7,4.6,11.3,40.3,1.2,4,30.6,5.4,6.6,81.7,3.2,3,1.8,0.2,1.9,1,0,2008,NYL,3,Minnesota Lynx,,Stanford,8,221,12,0.098,22.3,8.6,2.4,1.9
16,Katie DouglasC,G,33,34.4,15.6,5.2,13.8,37.2,1.7,5.3,32.4,3.6,4.5,79.9,4.1,3.2,1.6,0.4,3,0,0,2008,ONN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Lisa Leslie,NA,33,32.1,15.1,5.7,12.3,46.3,0.1,0.5,23.5,3.5,5.4,66.1,8.9,2.4,1.5,2.9,3.6,14,0,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Ann Wauters,C,32,30.6,14.7,6.1,11.4,53.3,0.3,1,35.5,2.2,3.1,71.4,7.5,1.8,1.1,1.2,2.2,9,0,2008,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Katie Smith,G,34,33.9,14.7,4.6,12.1,38.3,2.2,6.2,36,3.2,3.6,88.7,2.8,4,0.9,0.1,2.4,0,0,2008,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Sue Bird,G,33,33.7,14.1,5.2,11.8,44.1,1.4,4.2,34.3,2.2,2.6,87.1,2.5,5.1,1.2,0.1,2.7,1,0,2008,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Lindsay Whalen,G,31,29.3,14,4.5,9.9,46.1,0.9,2.6,33.8,4.1,5.1,80.3,5.6,5.4,1.5,0,1.9,1,0,2008,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,DeLisha Milton-Jones,F,31,32.8,13.9,5.3,11.1,48,0.9,2.6,35.8,2.3,3,77.4,6.3,2.4,1.1,0.6,3.2,0,0,2008,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Janel McCarville,C,31,26.3,13.7,5.4,10.1,53.5,0,0.3,0,2.9,3.7,77.4,5.4,2.1,1.5,0.8,2.2,1,0,2008,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Tamika Catchings,F,25,27.8,13.3,4,10.3,39.1,1.5,3.5,43.2,3.7,4.6,80,6.3,3.3,2,0.4,2.4,3,0,2008,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Taj McWilliams-Franklin,F,33,31.8,12.8,5.3,10.4,50.6,0.2,0.8,30.8,2,2.6,77.6,7.2,1.6,1.4,0.9,2.5,5,0,2008,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Tamika Whitmore,NA,34,26.8,12.6,4.7,11.5,40.8,1,3.2,31.5,2.2,2.8,78.1,4.7,1.4,0.6,0.4,2,2,0,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Plenette Pierson,F,28,23.2,11.9,4.4,9.5,45.7,0,0.1,0,3.1,4.2,75.2,4.9,2.3,0.9,1.2,1.7,1,0,2008,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Monique Currie,F,34,28.6,11.9,4,9.9,40.1,0.7,1.9,37.5,3.2,3.9,82.6,4.1,2.5,0.9,0.4,2.6,0,0,2008,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Tammy  Sutton-Brown,C,33,29,11.8,4.3,8.8,49.5,0,0,0,3.1,4.6,67.3,6.3,0.5,0.6,1.7,2.1,5,0,2008,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Ivory Latta,G,34,28.2,11.4,3.6,10.1,36.2,1.6,4.7,34.4,2.5,3.1,80.2,2.1,3.6,1.3,0,1.8,1,0,2008,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Swin Cash,F,31,29.9,11.3,3.7,9.5,38.9,0,0.3,12.5,3.9,5.1,77.2,5.4,1.9,0.7,1,2.2,1,0,2008,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Tangela  Smith,C,25,28.9,11.1,4.4,10.6,41.7,0.6,1.8,34.8,1.6,1.8,86.7,7,1.1,1.1,1.2,1.6,3,0,2008,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Ebony HoffmanC,F,33,30.7,10.4,4.3,9.2,46.5,0.8,1.7,45.6,1,1.2,82.9,7.8,1.8,1.4,0.8,2.4,4,0,2008,ONN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Cheryl Ford,F,24,26.5,10.1,3.7,7.7,48.1,0,0,0,2.7,4.8,56,8.7,0.9,1,0.4,1,5,0,2008,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Le'coe Willingham,F,34,24.5,10.1,4.1,7.2,57,0.1,0.8,18.5,1.8,2.4,74.1,5.9,0.9,0.6,0.2,1.4,2,0,2008,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Tan White,G,33,27.1,9.9,3.6,9.8,36.6,1.2,3.6,32.5,1.5,1.8,85,3.1,2.4,1.3,0.4,2.6,1,0,2008,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Michelle Snow,C,34,25.2,9.9,3.7,7,53.2,0,0.1,50,2.4,3.5,69.7,6.8,1.2,0.5,0.9,1.8,3,0,2008,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Cathrine Kraayeveld,F,34,28.3,9.6,3.4,8.8,38.3,1.8,4.9,37.6,1.1,1.5,70.6,6.1,1.4,0.8,0.8,1.6,0,0,2008,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Iziane CastroBRA,G,29,23.1,9.3,3.3,9.4,35.3,1,3.2,30.9,1.7,2,81.4,2.2,1.8,0.9,0.2,2,0,0,2008,ZIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Nicky Anosike,F,34,27.1,9.2,2.9,6.6,43.8,0,0,0,3.4,4.9,69.9,6.8,1.3,2.2,1.3,1.2,5,0,2008,NYL,16,Minnesota Lynx,,Tennessee,5,139,12.5,0.134,26.8,8.9,6.6,1.7
41,Tamecka Dixon,NA,24,26.4,9,3.7,9.2,40.3,0.1,0.5,15.4,1.5,1.8,85.7,3.2,1.8,1,0.1,2,0,0,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Kara Braxton,F,33,17.9,8.9,3.2,7.8,41.5,0,0.1,0,2.5,3.3,74.3,5.1,0.8,0.4,0.7,1.6,0,0,2008,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Charde Houston,F,33,17.6,8.8,3.5,7.2,49.2,0,0,0,1.8,2.5,74.1,3.7,0.8,0.9,0.4,1.7,1,0,2008,NYL,30,Minnesota Lynx,,UConn,7,206,6.2,0.066,18.3,8.7,3.3,1.2
44,Anna DeForge,NA,34,24.9,8.5,3.1,8,39.1,1.4,3.8,36.4,0.9,1.1,76.3,3,1.7,0.8,0.1,0.9,0,0,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Marie  Ferdinand-Harris,G,33,20.6,8.4,2.8,7.5,37,0.4,1.3,27.3,2.5,2.8,89.1,2.6,1.3,0.8,0.1,1.2,0,0,2008,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Kelly Miller,G,34,27.8,8.3,3.1,7.7,40.8,0.6,1.5,38.5,1.4,1.7,84.5,4.4,4,0.6,0.1,2.5,0,0,2008,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Tiffany Jackson-Jones,F,25,19.8,8.3,3.2,6.3,51.6,0,0,0,1.8,2.9,63,5.7,1,1,0.3,1.9,0,0,2008,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Tasha Humphrey,NA,30,17,8.3,3.2,6.9,46.6,0.9,2.3,38.2,1,1.3,79.5,3.7,1,0.6,0.3,1.5,1,0,2008,NA,11,Detroit Shock,,Georgia,2,58,2.3,0.103,15.8,7.2,3.2,0.7
49,Sancho Lyttle,F,27,18.1,8.2,3.4,5.9,58.2,0,0,0,1.4,1.9,74.5,6.1,0.9,1.4,1,1.2,4,0,2008,PHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Chasity Melvin,NA,34,22.5,8.2,2.9,6.5,44.3,0,0.1,33.3,2.4,3.9,61.4,5.1,1.5,0.9,0.3,1.4,3,0,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Diana Taurasi,G,31,31.5,20.4,6.5,14,46.1,2.5,6.3,40.7,4.9,5.5,89.4,5.7,3.5,1.2,1.4,2.6,2,0,2009,PHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Becky Hammon,G,31,33.8,19.5,6.5,14.4,44.7,2.5,6.6,36.9,4.1,4.6,90.1,3.3,5,1.6,0.4,3.6,2,0,2009,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Lauren Jackson,F,26,32.4,19.2,6.5,14,46.3,1.9,4.4,43,4.4,5.5,79.7,7,0.8,1.5,1.7,1.7,4,0,2009,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Cappie Pondexter,G,34,31.6,19.1,6.9,15.1,46,1.3,3.5,35.8,3.9,4.4,88.1,4.2,5,0.9,0.4,2.5,2,0,2009,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Sophia Young-Malcolm,F,33,33.7,18.2,6.6,14.6,45.4,0.5,1.7,30.9,4.4,5.7,76.7,6.5,1.6,1.3,0.5,1.9,3,0,2009,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Katie DouglasC,G,31,32.4,17.6,6.1,14.8,41,2.1,6.1,34.9,3.4,3.9,86.1,3.9,2.7,1.8,0.2,2.4,1,0,2009,ONN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Deanna  Nolan,G,33,33.7,16.9,6.5,15.9,40.8,1.2,3.7,32.5,2.8,3.5,78.4,4.3,3.5,1.3,0.3,2.2,1,0,2009,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Shameka Christon,F,32,31.7,16.1,4.8,12,40.2,2.4,6.4,38.2,4,4.6,86.5,4.9,1.8,0.9,0.8,1.8,1,0,2009,PHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Alana Beard,G,31,31.8,15.9,6.1,14.1,42.9,1,3.5,29.9,2.7,3.7,73.7,4,2.2,2.3,0.6,3.2,0,0,2009,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Candice Dupree,F,34,34.9,15.7,6,14,42.9,0.7,1.8,38.7,3,3.8,78.5,7.9,2.2,1,1.2,2.4,9,0,2009,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Tamika Catchings,F,34,31.9,15.1,4.6,12,38.6,1.2,3.6,32.8,4.6,5.3,87.3,7.2,3.1,2.9,0.5,2.6,7,0,2009,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Iziane CastroBRA,G,34,26.9,14.4,5.4,13.1,41.3,1.4,4.2,34.5,2.1,2.7,78,2.2,2,1.1,0.1,2.4,0,0,2009,ZIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Chamique Holdsclaw,F,25,28.3,13.9,5.3,12.8,41.4,0.2,1.2,20,3.1,3.7,83.9,4.4,2.2,1.4,0.3,3,1,0,2009,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Katie Smith,G,27,33.1,13.7,4.7,10.9,43.5,2.1,4.9,43.2,2.1,2.3,91.8,2.3,2.8,0.8,0.1,2.3,0,0,2009,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Sandrine Gruda,F,26,31.2,13.5,5.8,12.4,46.7,0,0,0,1.8,3.3,55.8,6.3,1.3,0.9,1.6,2.6,2,0,2009,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Jia Perkins,G,34,27.4,13.2,4.6,11.1,41.7,0.9,2.3,38.5,3.1,3.6,84.6,3.4,2.9,2.1,0.2,1.6,0,0,2009,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Nicky Anosike,F,30,29.9,13.2,4.3,8.8,49.1,0,0.1,25,4.5,6.5,69.6,7.4,2.7,2.7,0.9,2,7,0,2009,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Candace Parker,F,25,32.6,13.1,5.2,10.8,48.5,0.2,1,20.8,2.4,3.2,76.3,9.8,2.6,0.6,2.1,2.2,15,0,2009,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Candice Wiggins,G,34,29.9,13.1,4,10.6,37.5,1.2,3.9,32.1,3.9,4.4,89.3,2.9,2.6,1.2,0.2,2.4,0,0,2009,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Charde Houston,F,34,23.3,13.1,5.1,11.1,46.5,0.7,2,33.3,2.1,2.9,72.7,5.5,1.7,1.3,0.6,1.9,4,0,2009,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Sancho Lyttle,F,34,27.4,13,5.4,10.7,50.7,0,0,0,2.2,3,74.3,7.5,1.5,2,0.6,1.9,8,0,2009,PHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Tina Thompson,F,34,34.8,13,4.5,11.6,38.5,1.5,4.1,36.9,2.5,2.9,86.7,5.9,2.3,0.8,0.7,2.8,2,0,2009,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Sue Bird,G,31,35.5,12.8,5,12.2,40.8,1.7,4.8,36,1.1,1.3,85.4,2.5,5.8,1.5,0.1,2.6,0,0,2009,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Angel McCoughtry,F,34,21.6,12.8,4.7,9.9,47.6,0.4,1.5,29.4,2.9,4,74.1,3.1,2.1,2.2,0.4,2.1,2,0,2009,MIN,1,Atlanta Dream,,Louisville,13,311,37.6,0.173,28,18.6,5,2.9
